time,level,latitude,longitude,co_conc,no2_conc,o3_conc,pm10_conc,pm2p5_conc
2 days 15:00:00,0.0,48.75,2.35,208.98593,15.44931,46.38537,6.760985,3.7836685
2 days 15:00:00,0.0,48.75,2.45,203.44165,11.872879,50.663986,6.823171,3.7097151
2 days 15:00:00,50.0,48.95,2.15,184.64262,8.191815,52.928925,6.0654488,4.7342
2 days 15:00:00,50.0,48.95,2.25,194.80464,15.752444,47.381943,8.330261,4.3783035
2 days 15:00:00,50.0,48.95,2.35,196.78824,18.051647,45.142853,7.1804605,4.275914
2 days 15:00:00,50.0,48.95,2.45,192.6298,16.64974,47.14927,6.1018286,4.284114
2 days 15:00:00,50.0,48.85,2.15,174.51881,8.101754,54.57308,6.145484,3.875083
2 days 15:00:00,50.0,48.85,2.25,183.61592,12.955017,50.507835,7.2998605,3.9094875
2 days 15:00:00,50.0,48.85,2.35,185.44957,15.079973,47.27599,7.4998355,3.8586125
2 days 15:00:00,50.0,48.85,2.45,181.90004,15.29369,50.204433,6.2413507,3.9005063
2 days 15:00:00,50.0,48.75,2.15,166.37724,5.4836245,56.80755,5.7226543,3.5906384
2 days 15:00:00,50.0,48.75,2.25,170.30138,6.768854,55.37091,6.145484,3.7193036
2 days 15:00:00,50.0,48.75,2.35,171.01964,9.103264,54.070404,6.1745877,3.541739
2 days 15:00:00,50.0,48.75,2.45,170.99644,8.80441,53.74175,6.0800004,3.6783335
3 days 15:00:00,0.0,48.95,2.15,225.40912,14.201535,39.692135,7.8212137,4.4027786
3 days 15:00:00,0.0,48.95,2.25,228.77266,17.590626,35.204723,8.010573,4.898638
3 days 15:00:00,0.0,48.95,2.35,228.13237,20.734976,32.82125,8.86304,5.5327263
3 days 15:00:00,0.0,48.95,2.45,230.36041,22.61996,29.123018,8.764118,6.5058002
3 days 15:00:00,0.0,48.85,2.15,218.396,14.394519,41.054592,7.0103707,3.8791797
3 days 15:00:00,0.0,48.85,2.25,223.18472,18.152195,36.158833,8.714323,4.970218
3 days 15:00:00,0.0,48.85,2.35,243.37323,23.752977,31.101225,9.581655,5.9832673
3 days 15:00:00,0.0,48.85,2.45,231.68895,27.10414,29.881615,9.303335,6.3200645
3 days 15:00:00,0.0,48.75,2.15,210.94951,11.436884,43.388973,6.402388,3.3833203
3 days 15:00:00,0.0,48.75,2.25,216.27051,15.251348,40.411957,7.0713215,3.4415278
3 days 15:00:00,0.0,48.75,2.35,226.79155,20.165262,35.15255,8.145278,4.0172668
3 days 15:00:00,0.0,48.75,2.45,228.01596,21.543318,32.697617,8.12345,4.645727
3 days 15:00:00,50.0,48.95,2.15,199.88023,9.676052,42.42203,6.47087,4.3245907
3 days 15:00:00,50.0,48.95,2.25,216.72543,14.833235,38.289486,7.598047,4.505935
3 days 15:00:00,50.0,48.95,2.35,223.94887,16.789331,34.391376,9.157347,5.937551
3 days 15:00:00,50.0,48.95,2.45,221.07986,18.925478,31.454292,8.952199,6.176805
3 days 15:00:00,50.0,48.85,2.15,201.61691,9.710797,42.551136,5.947072,3.5578296
3 days 15:00:00,50.0,48.85,2.25,218.07831,17.187078,39.010048,7.8516536,4.777604
3 days 15:00:00,50.0,48.85,2.35,226.87585,19.606888,35.375706,8.819669,5.8556395
3 days 15:00:00,50.0,48.85,2.45,227.32695,23.74116,31.817764,8.707175,6.2204604
3 days 15:00:00,50.0,48.75,2.15,201.24652,8.826747,46.032944,5.793936,3.2537599
3 days 15:00:00,50.0,48.75,2.25,201.40317,11.06625,43.986645,5.950568,3.45608
3 days 15:00:00,50.0,48.75,2.35,213.60472,16.540989,38.831787,6.6145844,4.0956535
3 days 15:00:00,50.0,48.75,2.45,213.76572,18.165474,35.615814,7.180802,4.4596786
4 days 15:00:00,0.0,48.95,2.15,300.14374,22.811537,40.854958,20.943262,13.6341715
4 days 15:00:00,0.0,48.95,2.25,312.62042,37.144535,32.770416,24.0574,13.792665
4 days 15:00:00,0.0,48.95,2.35,327.63754,42.345493,32.11353,24.45195,13.491764
4 days 15:00:00,0.0,48.95,2.45,334.68317,39.49754,28.202438,22.232328,12.203721
4 days 15:00:00,0.0,48.85,2.15,270.3444,25.241339,34.199516,18.624163,11.612691
4 days 15:00:00,0.0,48.85,2.25,303.74533,40.809555,25.845625,22.3623,12.539523
4 days 15:00:00,0.0,48.85,2.35,321.8834,50.282326,21.830105,24.729517,15.00522
4 days 15:00:00,0.0,48.85,2.45,331.77414,51.748306,17.366022,23.048628,13.884993
4 days 15:00:00,0.0,48.75,2.15,263.41766,20.390875,34.473858,17.732859,9.329945
4 days 15:00:00,0.0,48.75,2.25,278.51505,30.893719,28.327494,19.843227,11.133672
4 days 15:00:00,0.0,48.75,2.35,301.78082,39.991795,23.84799,21.349691,11.519667
4 days 15:00:00,0.0,48.75,2.45,301.16965,44.247036,20.795967,21.407444,11.575459
4 days 15:00:00,50.0,48.95,2.15,282.0601,20.928635,43.398247,21.70229,13.764197
4 days 15:00:00,50.0,48.95,2.25,308.30222,33.742825,34.95781,23.66694,14.417499
4 days 15:00:00,50.0,48.95,2.35,304.71436,41.996822,32.54414,23.866404,14.434751
4 days 15:00:00,50.0,48.95,2.45,320.25446,41.744125,33.97465,22.14112,12.320019
4 days 15:00:00,50.0,48.85,2.15,255.2449,23.6962,37.485737,18.851791,11.398445
4 days 15:00:00,50.0,48.85,2.25,286.85904,38.868958,32.668255,22.293177,11.582589
4 days 15:00:00,50.0,48.85,2.35,314.0842,47.235207,25.298727,23.848753,13.553607
4 days 15:00:00,50.0,48.85,2.45,313.8517,50.041885,24.670977,22.376623,11.781598
4 days 15:00:00,50.0,48.75,2.15,238.07364,19.286009,36.488632,17.164621,8.258514
4 days 15:00:00,50.0,48.75,2.25,255.47772,27.97969,33.345715,18.476055,10.093988
4 days 15:00:00,50.0,48.75,2.35,299.48907,37.123753,25.882679,20.110218,11.107563
4 days 15:00:00,50.0,48.75,2.45,295.93207,41.58969,25.069065,20.60882,11.461456
5 days 15:00:00,0.0,48.95,2.15,251.21992,25.027365,23.180897,13.141512,9.140179
5 days 15:00:00,0.0,48.95,2.25,266.0624,29.03089,21.976662,12.153317,7.617244
5 days 15:00:00,0.0,48.95,2.35,255.75171,26.918516,26.373316,11.015937,7.018967
5 days 15:00:00,0.0,48.95,2.45,252.30222,20.563606,30.398369,10.153822,6.31553
5 days 15:00:00,0.0,48.85,2.15,244.57811,23.104408,25.448713,11.711644,7.8452997
5 days 15:00:00,0.0,48.85,2.25,265.28934,29.613491,22.985233,12.002057,8.006337
5 days 15:00:00,0.0,48.85,2.35,273.70422,28.975367,22.33459,11.655511,7.7172318
5 days 15:00:00,0.0,48.85,2.45,250.9489,21.441824,30.040747,9.828564,6.8750963
5 days 15:00:00,0.0,48.75,2.15,234.6396,16.964977,31.06571,10.966199,7.1998997
5 days 15:00:00,0.0,48.75,2.25,244.82822,20.24473,28.610231,11.024322,7.481843
5 days 15:00:00,0.0,48.75,2.35,247.40277,21.659021,28.49324,10.217429,7.0633616
5 days 15:00:00,0.0,48.75,2.45,244.78343,18.859398,31.187767,9.547416,6.7080903
5 days 15:00:00,50.0,48.95,2.15,241.49353,23.468048,28.6772,12.318406,9.239108
5 days 15:00:00,50.0,48.95,2.25,239.01765,25.094893,26.243513,11.88742,8.031527
5 days 15:00:00,50.0,48.95,2.35,232.20872,21.12826,30.768818,10.053679,7.438536
5 days 15:00:00,50.0,48.95,2.45,223.28703,18.218374,35.047535,8.851213,6.452402
5 days 15:00:00,50.0,48.85,2.15,230.68123,19.845331,30.199482,12.04911,7.9853697
5 days 15:00:00,50.0,48.85,2.25,247.78427,22.289898,27.04141,11.612439,7.7610655
5 days 15:00:00,50.0,48.85,2.35,242.39734,21.569578,27.89814,10.009228,7.4276505
5 days 15:00:00,50.0,48.85,2.45,223.94823,18.814093,35.2111,8.905783,6.222769
5 days 15:00:00,50.0,48.75,2.15,222.87662,13.328234,33.974644,10.02844,7.4105973
5 days 15:00:00,50.0,48.75,2.25,224.46915,17.257095,33.90645,10.381922,7.3098283
5 days 15:00:00,50.0,48.75,2.35,229.39043,17.808731,32.901768,9.6915865,6.8503203
5 days 15:00:00,50.0,48.75,2.45,220.93872,14.7421,35.789932,9.153166,6.431157
6 days 15:00:00,0.0,48.95,2.15,212.5356,17.15365,51.363262,16.590425,9.434854
6 days 15:00:00,0.0,48.95,2.25,224.6255,22.879211,46.623146,20.01328,10.771264
6 days 15:00:00,0.0,48.95,2.35,240.67627,28.524666,39.676296,20.454699,11.658611
6 days 15:00:00,0.0,48.95,2.45,253.92682,36.16283,34.78235,19.299696,10.496199
6 days 15:00:00,0.0,48.85,2.15,201.82709,17.89366,52.48393,15.42596,8.816419
6 days 15:00:00,0.0,48.85,2.25,224.8688,24.123123,44.9715,18.76156,9.133037
6 days 15:00:00,0.0,48.85,2.35,252.42523,33.878803,38.132244,20.606499,9.904402
6 days 15:00:00,0.0,48.85,2.45,250.40639,37.12455,35.0599,19.093042,9.444567
6 days 15:00:00,0.0,48.75,2.15,192.0648,14.79774,55.074696,15.119658,8.562549
6 days 15:00:00,0.0,48.75,2.25,207.61261,18.18182,50.783157,16.632944,9.257375
6 days 15:00:00,0.0,48.75,2.35,225.92892,28.037176,42.821457,18.098112,9.642219
6 days 15:00:00,0.0,48.75,2.45,228.01201,30.600857,39.22304,19.05024,9.698607
6 days 15:00:00,50.0,48.95,2.15,183.16945,11.828167,54.74199,15.133992,9.470614
6 days 15:00:00,50.0,48.95,2.25,206.35019,18.251509,51.182724,21.017086,10.91799
6 days 15:00:00,50.0,48.95,2.35,225.72755,26.174152,45.105694,18.670818,11.550145
6 days 15:00:00,50.0,48.95,2.45,232.54376,29.817226,40.9309,17.765955,11.45425
6 days 15:00:00,50.0,48.85,2.15,181.77269,12.174016,55.601105,14.384568,8.241539
6 days 15:00:00,50.0,48.85,2.25,197.51912,18.799856,50.49563,17.025742,9.557208
6 days 15:00:00,50.0,48.85,2.35,219.32016,28.789042,44.720863,19.786512,10.466056
6 days 15:00:00,50.0,48.85,2.45,222.96428,31.188133,39.79426,17.894451,10.040895
6 days 15:00:00,50.0,48.75,2.15,175.70306,9.192103,59.50723,14.470231,8.5919
6 days 15:00:00,50.0,48.75,2.25,181.73473,13.267066,57.226856,14.807085,9.009131
6 days 15:00:00,50.0,48.75,2.35,196.51868,18.22836,49.371494,15.533714,9.80459
6 days 15:00:00,50.0,48.75,2.45,201.23814,23.750654,47.370506,17.084972,10.077439
7 days 15:00:00,0.0,48.95,2.15,168.562,8.218196,56.309868,4.0668726,1.8881679
7 days 15:00:00,0.0,48.95,2.25,162.12936,10.502811,54.90211,3.0193055,1.8600303
7 days 15:00:00,0.0,48.95,2.35,175.35718,12.227008,52.78326,2.968999,2.2426221
7 days 15:00:00,0.0,48.95,2.45,173.64096,13.385163,50.380127,3.396291,2.2981794
7 days 15:00:00,0.0,48.85,2.15,143.22984,7.989011,56.788506,2.3315,1.8393394
7 days 15:00:00,0.0,48.85,2.25,170.23093,11.323062,52.92893,3.1141202,2.1950085
7 days 15:00:00,0.0,48.85,2.35,183.5823,14.232393,50.239246,3.5961523,2.5608528
7 days 15:00:00,0.0,48.85,2.45,172.24556,14.48308,49.886738,3.14618,2.1283243
7 days 15:00:00,0.0,48.75,2.15,136.10861,6.17184,58.250984,2.620492,1.8052901
7 days 15:00:00,0.0,48.75,2.25,143.98688,7.7033653,56.598896,2.794376,1.8194442
7 days 15:00:00,0.0,48.75,2.35,166.81725,11.705199,53.685307,3.4469953,2.173202
7 days 15:00:00,0.0,48.75,2.45,156.95866,11.21864,54.19055,2.941032,2.2512267
7 days 15:00:00,50.0,48.95,2.15,136.4429,4.934802,59.771523,4.372285,2.038199
7 days 15:00:00,50.0,48.95,2.25,146.7751,8.249619,57.728386,2.797836,2.0109353
7 days 15:00:00,50.0,48.95,2.35,148.46921,10.025855,56.781063,2.9510858,1.9041266
7 days 15:00:00,50.0,48.95,2.45,152.95915,11.468725,56.077034,2.8492224,2.0998812
7 days 15:00:00,50.0,48.85,2.15,131.7702,6.1452823,59.734093,2.4800243,1.8110172
7 days 15:00:00,50.0,48.85,2.25,158.01526,8.723337,58.56535,3.5879595,2.0513654
7 days 15:00:00,50.0,48.85,2.35,160.09238,10.218114,57.218857,3.2535496,2.4018974
7 days 15:00:00,50.0,48.85,2.45,151.1259,11.020629,56.35742,2.7239394,1.9369395
7 days 15:00:00,50.0,48.75,2.15,127.290085,3.8539243,61.635384,2.7577612,1.6067219
7 days 15:00:00,50.0,48.75,2.25,132.81004,4.961639,60.6667,2.8013604,1.721446
7 days 15:00:00,50.0,48.75,2.35,137.99551,7.4485598,59.554756,2.9145355,2.5550406
7 days 15:00:00,50.0,48.75,2.45,145.01909,7.9463024,58.733944,2.7119455,2.4577105
8 days 15:00:00,0.0,48.95,2.15,161.06036,4.3964996,66.28897,11.704199,7.9080563
8 days 15:00:00,0.0,48.95,2.25,163.23929,7.6343007,63.722466,12.270557,7.977178
8 days 15:00:00,0.0,48.95,2.35,170.60506,9.6339245,62.220352,11.339235,7.607298
8 days 15:00:00,0.0,48.95,2.45,168.9143,9.737053,61.79471,11.194057,7.1380625
8 days 15:00:00,0.0,48.85,2.15,156.3717,4.1896324,65.538376,11.136703,7.149886
8 days 15:00:00,0.0,48.85,2.25,164.68016,8.054075,63.521503,11.921198,7.217558
8 days 15:00:00,0.0,48.85,2.35,177.92717,10.112361,61.99343,11.624191,7.728495
8 days 15:00:00,0.0,48.85,2.45,166.80634,9.682028,62.359013,11.31286,7.293927
8 days 15:00:00,0.0,48.75,2.15,154.38104,3.4399102,66.11538,10.804935,6.735654
8 days 15:00:00,0.0,48.75,2.25,156.77438,5.009812,65.61306,11.562289,6.821132
8 days 15:00:00,0.0,48.75,2.35,164.30136,7.454306,64.001595,11.204459,7.4354105
